Title,Place Name,Latitude,Longitude,Location,Dusun,Kecamatan,Kota/Kabupaten,Province,Provinsi,Phone Number,URL,Commodity,Bulan Panen,Panen Months 
Cengkeh Sadirman M,Cengkeh Sadirman M,-3.3661125,120.3018906,"J8M2+HQ2, Rumaju, Bajo, Luwu Regency, South Sulawesi 91995, Indonesia",,Bajo,Kabupaten Luwu,South Sulawesi,Sulawesi Selatan,+62 852-4150-3397,"https://www.google.com/maps/place/Cengkeh+Sadirman+M/@-3.0681989,109.6896378,6z/data=!4m7!3m6!1s0x2d96af2e5e552007:0xc96e0e3080d5ac40!8m2!3d-3.3661014!4d120.3018896!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11fhn20k43?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun cengkeh bungeja,Kebun cengkeh bungeja,-3.437299,119.4076091,"HC75+32Q, Jl. Biru, Batetangnga, Kec. Binuang, Kabupaten Polewali Mandar, Sulawesi Barat 91312, Indonesia",,Binuang,Kabupaten Polewali Mandar,West Sulawesi,Sulawesi Barat,,"https://www.google.com/maps/place/Kebun+cengkeh+bungeja/@-3.0681989,109.6896378,6z/data=!4m7!3m6!1s0x2d948900186c3b7f:0xbdbb85e8b4748bb0!8m2!3d-3.437299!4d119.4076091!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQRmYXJt4AEA!16s%2Fg%2F11w450twyw?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun cengkeh afika fishing store ll,Kebun cengkeh afika fishing store ll,0.4587943,120.9991032,"GXHX+G6R, Bukit makmur, Kec. Bolano Lambunu, Kabupaten Parigi Moutong, Sulawesi Tengah 94479, Indonesia",Bukit makmur,Bolano Lambunu,Kabupaten Parigi Moutong,Central Sulawesi,Sulawesi Tengah,+62 852-5656-1446,"https://www.google.com/maps/place/Kebun+cengkeh+afika+fishing+store+ll/@-3.0681989,109.6896378,6z/data=!4m7!3m6!1s0x3277078c42641df7:0xf942a3895d340fae!8m2!3d0.5288503!4d120.9980046!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11txpq68zk?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Perkebunan cengkeh duminanga,Perkebunan cengkeh duminanga,0.3541875,123.8536875,"9V33+MF, Duminanga, Bolaang Uki, South Bolaang Mongondow Regency, North Sulawesi, Indonesia",Duminanga,Bolaang Uki,Kabupaten Bolaang Mongondow Selatan,North Sulawesi,Sulawesi Utara,,"https://www.google.com/maps/place/Perkebunan+cengkeh+duminanga/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x327fa7c8b19245af:0x21a501897874f94b!8m2!3d0.35424!4d123.853639!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2laFyIVY2VuZ2tlaCBmYXJtIHN1bGF3ZXNpkgEJdHJlZV9mYXJtmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU10YW1ZemRUTlJSUkFC4AEA!16s%2Fg%2F11sbmwy8z8?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Penyulingan Daun Cengkeh Bojes,Penyulingan Daun Cengkeh Bojes,-3.5573625,120.3066406,"C8V4+3M2, Binturu, Larompong, Luwu Regency, South Sulawesi 91997, Indonesia",Binturu,Larompong,Kabupaten Luwu,South Sulawesi,Sulawesi Selatan,+62 812-2480-2804,"https://www.google.com/maps/place/Penyulingan+Daun+Cengkeh+Bojes/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d9699087fd2ea79:0xa62a9a7b99002be!8m2!3d-3.5573597!4d120.306645!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2laFyIVY2VuZ2tlaCBmYXJtIHN1bGF3ZXNpkgEEZmFybZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VReE4yWkhUV1IzRUFF4AEA!16s%2Fg%2F11hzblgv6w?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Perkebunan cengkeh.Yarwan diman,Perkebunan cengkeh.Yarwan diman,-0.9523125,123.3468594,"28XW+3PH, Unnamed Road, Booy, Kec. Balantak Sel., Kabupaten Banggai, Sulawesi Tengah 94773, Indonesia",Booy,Balantak Selatan,Kabupaten Banggai,Central Sulawesi,Sulawesi Tengah,+62 852-5601-5253,"https://www.google.com/maps/place/Perkebunan+cengkeh.Yarwan+diman/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d8159daadffe0c7:0x7f8654b44ac6367!8m2!3d-0.9523197!4d123.346868!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2laFyIVY2VuZ2tlaCBmYXJtIHN1bGF3ZXNpkgEJdHJlZV9mYXJtmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJVZFRsWGVrVjNFQUXgAQA!16s%2Fg%2F11mr0yxh0r?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun Cengkeh Arsyifa,Kebun Cengkeh Arsyifa,-5.2599375,120.1673281,"P5R8+2WG, Jl. Poros Jatie-Boddi Desa Samaturu, Samaturue, Kec. Tellu Limpoe, Kab. Sinjai, Sulawesi Selatan 92661, Indonesia",Samaturu,Tellu Limpoe,Kabupaten Sinjai,South Sulawesi,Sulawesi Selatan,,"https://www.google.com/maps/place/Kebun+Cengkeh+Arsyifa/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2dbc1f74a084b6f5:0x7fc0a4339a22708a!8m2!3d-5.2599306!4d120.1673228!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2laFyIVY2VuZ2tlaCBmYXJtIHN1bGF3ZXNpkgEHb3JjaGFyZJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VRMk1IVnFXa1pSRUFF4AEA!16s%2Fg%2F11hz_md1kr?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun Cengkeh Abi Muslim,Kebun Cengkeh Abi Muslim,0.9885625,122.0674375,"X3Q8+CX, Pionoto, Paleleh, Buol Regency, Central Sulawesi, Indonesia",Pionoto,Paleleh,Kabupaten Buol,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Kebun+Cengkeh+Abi+Muslim/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x32798b117a31599d:0xad19a2d0967ddf44!8m2!3d0.9885703!4d122.0674369!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11t4_mr_n9?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun cengkeh papa Abil,Kebun cengkeh papa Abil,0.4449375,124.2029375,"C6V3+X5, Mataindo, Pinolosian Tengah, South Bolaang Mongondow Regency, North Sulawesi, Indonesia",Mataindo,Pinolosian Tengah,Kabupaten Bolaang Mongondow Selatan,North Sulawesi,Sulawesi Utara,,"https://www.google.com/maps/place/Kebun+cengkeh+papa+Abil/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x327fcb38d10b5381:0xf0252b827e19f38a!8m2!3d0.4449787!4d124.2028943!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11vkknkxv0?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun cengkeh Firman,Kebun cengkeh Firman,0.9781125,120.7806719,"XQHJ+67V, Unnamed Road, Lelean Nono, Kec. Baolan, Kabupaten Toli-Toli, Sulawesi Tengah 94516, Indonesia",Lelean Nono,Baolan,Kabupaten Toli-Toli,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Kebun+cengkeh+Firman/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x3276d30888949297:0x905a2e8fe917b127!8m2!3d0.9781025!4d120.7806632!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSARBjb3Jwb3JhdGVfb2ZmaWNl4AEA!16s%2Fg%2F11ky5lpqt5?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Perkebunan cengkeh,Perkebunan cengkeh,0.8589375,124.4598125,"VF55+HW, Tambelang, Maesaan, South Minahasa Regency, North Sulawesi, Indonesia",Tambelang,Maesaan,Kabupaten Minahasa Selatan,North Sulawesi,Sulawesi Utara,,"https://www.google.com/maps/place/Perkebunan+cengkeh/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x327e1d002b139db5:0xbe4256e3e1294a22!8m2!3d0.8589184!4d124.4598453!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11vxx0mjj4?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun cengkeh yusuf,Kebun cengkeh yusuf,-4.0399375,121.6380625,"XJ6Q+26, Laloeha, Kolaka, Kolaka Regency, South East Sulawesi, Indonesia",,Laloeha,Kabupaten Kolaka,Southeast Sulawesi,Sulawesi Tenggara,,"https://www.google.com/maps/place/Kebun+cengkeh+yusuf/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d981f0060fc92c9:0xd461f31f4b7551f3!8m2!3d-4.0399439!4d121.6381131!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQRmYXJt4AEA!16s%2Fg%2F11w23n4whg?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun Cengkeh Faenal Paisal,Kebun Cengkeh Faenal Paisal,-3.4585391,120.956081,"Ujung Tobaku, Katoi, North Kolaka Regency, South East Sulawesi 93916, Indonesia",Ujung Tobaku,Katoi,Kabupaten Kolaka Utara,Southeast Sulawesi,Sulawesi Tenggara,+62 852-2229-1071,"https://www.google.com/maps/place/Kebun+Cengkeh+Faenal+Paisal/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d96df1dceb752ed:0x4352796bec4a2d0!8m2!3d-3.425983!4d120.8706576!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQRmYXJt4AEA!16s%2Fg%2F11s8_m5z6f?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun Cengkeh,Kebun Cengkeh,-4.1770498,121.7061386,"RP58+26P, Gunung Batu, Puulemo, Kec. Baula, Kabupaten Kolaka, Sulawesi Tenggara, Indonesia","Gunung Batu, Puulemo",Baula,Kabupaten Kolaka,Southeast Sulawesi,Sulawesi Tenggara,,"https://www.google.com/maps/place/Kebun+Cengkeh/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d9803001ac5dfa1:0x8832bbbf9d5d23a2!8m2!3d-4.1924174!4d121.7155723!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQdvcmNoYXJk4AEA!16s%2Fg%2F11w4p6zb90?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun cengkeh dan lahan batu Adrian yunus,Kebun cengkeh dan lahan batu Adrian yunus,-4.1261498,122.8704925,"Cempedak, Laonti, Kendari, South East Sulawesi 93892, Indonesia",Cempedak,Laonti,Kota Kendari,Southeast Sulawesi,Sulawesi Tenggara,+62 821-9520-4866,"https://www.google.com/maps/place/Kebun+cengkeh+dan+lahan+batu+Adrian+yunus/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d98a5deee6a215f:0xfbe7eff3d30847a3!8m2!3d-4.1463914!4d122.8838251!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQRmYXJt4AEA!16s%2Fg%2F11y8cpx1k8?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun Cengkeh Risma Ridwan,Kebun Cengkeh Risma Ridwan,0.955314,120.7292472,"Pulias, Pantai, Toli-Toli Regency, Central Sulawesi 94561, Indonesia",Pulias,Pantai,Kabupaten Toli-Toli,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Kebun+Cengkeh+Risma+Ridwan/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x3276d1c95f5b7b3f:0x9a51a434811dacdb!8m2!3d0.9636587!4d120.7298119!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11l5gwp139?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun cengkeh Ros,Kebun cengkeh Ros,-3.4790875,119.9180469,"GWC9+967, Ledan, Buntu Batu, Enrekang Regency, South Sulawesi 91753, Indonesia",Ledan,Buntu Batu,Kabupaten Enrekang,South Sulawesi,Sulawesi Selatan,,"https://www.google.com/maps/place/Kebun+cengkeh+Ros/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d9417d79a97e5ff:0xd121a58dd0416c37!8m2!3d-3.4790934!4d119.9180366!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2laFyIVY2VuZ2tlaCBmYXJtIHN1bGF3ZXNpkgEHb3JjaGFyZJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOS09VOTVPRFpuUlJBQuABAA!16s%2Fg%2F11v0bclf_8?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kobong Cengkeh Opa itoy,Kobong Cengkeh Opa itoy,0.7831125,123.8673594,"QVM8+6WX, Babo, Sangtombolang, Bolaang Mongondow Regency, North Sulawesi, Indonesia",,Sangtombolang,Kabupaten Bolaang Mongondow,North Sulawesi,Sulawesi Utara,,"https://www.google.com/maps/place/Kobong+Cengkeh+Opa+itoy/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x327e610066d5fd25:0x4776f51fe821f5a7!8m2!3d0.7831119!4d123.8673533!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11w4sc2qn0?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Cengkeh Ines,Cengkeh Ines,-0.6403125,119.9567031,"9X54+VMG, Wombo, Tanantovea, Donggala Regency, Central Sulawesi, Indonesia",Wombo,Tanantovea,Kabupaten Donggala,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Cengkeh+Ines/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d8bcf0078162177:0x46ab8623779408f5!8m2!3d-0.6403018!4d119.9567082!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQdvcmNoYXJk4AEA!16s%2Fg%2F11w1z8yr_h?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun cengkeh,Kebun cengkeh,-0.2503875,119.9749531,"PXXF+RXW, Donggulu, Kasimbar, Parigi Moutong Regency, Central Sulawesi 94474, Indonesia",Donggulu,Kasimbar,Kabupaten Parigi Moutong,Central Sulawesi,Sulawesi Tengah,+62 821-9242-2477,"https://www.google.com/maps/place/Kebun+cengkeh/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d8a198a9f4bf3e5:0x21dbe37800c109d5!8m2!3d-0.2503757!4d119.9749595!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2laFyIVY2VuZ2tlaCBmYXJtIHN1bGF3ZXNpkgEHb3JjaGFyZJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSWUxWQnlhVjlCUlJBQuABAA!16s%2Fg%2F11h71h9808?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Pembibitan cengkeh,Pembibitan cengkeh,-4.0240125,121.5245156,"XGGF+9RR, Induha, Latambaga, Kolaka Regency, South East Sulawesi, Indonesia",,Latambaga,Kabupaten Kolaka,Southeast Sulawesi,Sulawesi Tenggara,+62 852-5584-5585,"https://www.google.com/maps/place/Pembibitan+cengkeh/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d978d3e6f8091f1:0x61c89330052661ce!8m2!3d-4.0240082!4d121.5245165!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2laFyIVY2VuZ2tlaCBmYXJtIHN1bGF3ZXNpkgENcGxhbnRfbnVyc2VyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOYU5EWjFNbVozRUFF4AEA!16s%2Fg%2F11vbdtf6zp?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun Cengkeh Anang - Galang,Kebun Cengkeh Anang - Galang,-0.7831875,119.9620625,"6X86+PR, Bale, Tanantovea, Donggala Regency, Central Sulawesi, Indonesia",Bale,Tanantovea,Kabupaten Donggala,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Kebun+Cengkeh+Anang+-+Galang/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d8bc30023279897:0x4ae15a56d476e2dc!8m2!3d-0.7831303!4d119.9621235!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11y5v6fdwn?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun cengkeh bapak bustang,Kebun cengkeh bapak bustang,1.1620625,120.8724375,"5V6C+RX, Tinigi, Galang, Toli-Toli Regency, Central Sulawesi, Indonesia",Tinigi,Galang,Kabupaten Toli-Toli,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Kebun+cengkeh+bapak+bustang/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x32712900148c0323:0xdbf14dd2e41055f2!8m2!3d1.1620042!4d120.8724554!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQl0cmVlX2Zhcm3gAQA!16s%2Fg%2F11y3cl3rmr?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Penyulingan Daun Cengkeh Sipakalebbi,Penyulingan Daun Cengkeh Sipakalebbi,-3.6230375,120.3723594,"99GC+QWQ, Salusana, Larompong Selatan, Luwu Regency, South Sulawesi 91998, Indonesia",Salusana,Larompong Selatan,Kabupaten Luwu,South Sulawesi,Sulawesi Selatan,+62 823-4690-6643,"https://www.google.com/maps/place/Penyulingan+Daun+Cengkeh+Sipakalebbi/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d9691f30f355265:0x6fb8d6febd332b81!8m2!3d-3.6230485!4d120.3723741!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQRmYXJt4AEA!16s%2Fg%2F11h591v70d?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
PERTANIAN CENGKEH,PERTANIAN CENGKEH,-3.9698125,121.4966875,"2FJW+3M, Lawulo, Kolaka Regency, South East Sulawesi, Indonesia",,Lawulo,Kabupaten Kolaka,Southeast Sulawesi,Sulawesi Tenggara,+62 877-1161-7610,"https://www.google.com/maps/place/PERTANIAN+CENGKEH/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d978d3497b2bd51:0x184117d950e7682c!8m2!3d-4.0267469!4d121.4931215!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQdvcmNoYXJk4AEA!16s%2Fg%2F11l31y2dqd?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Tani cengkeh HD,Tani cengkeh HD,-3.5871875,120.3028125,"C873+44, Malewong, Larompong Selatan, Luwu Regency, South Sulawesi 91997, Indonesia",,Larompong Selatan,Kabupaten Luwu,South Sulawesi,Sulawesi Selatan,,"https://www.google.com/maps/place/Tani+cengkeh+HD/@-0.0449525,110.5083985,6z/data=!4m7!3m6!1s0x2d969bd706c6e9e7:0xa0b0981b99064b34!8m2!3d-3.5871547!4d120.3028515!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2laFyIVY2VuZ2tlaCBmYXJtIHN1bGF3ZXNpkgEGZ2FyZGVumgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5sTkhBelYzQkJSUkFC4AEA!16s%2Fg%2F11pvhfxr_k?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
"Pembibitan Tanaman Unggul Buriko | Sulawesi Selatan | cengkeh, Merica, Durian, Vanili, Pala","Pembibitan Tanaman Unggul Buriko %7C Sulawesi Selatan %7C cengkeh, Merica, Durian, Vanili, Pala",-3.6705182,120.4031493,"Depan Kantor, JL. Ladongi Buriko, Tellesang, Kec. Pitumpanua, Kabupaten Wajo, Sulawesi Selatan 90992, Indonesia",Tellesang,Pitumpanua,Kabupaten Wajo,South Sulawesi,Sulawesi Selatan,+62 823-2730-0300,"https://www.google.com/maps/place/Pembibitan+Tanaman+Unggul+Buriko+%7C+Sulawesi+Selatan+%7C+cengkeh,+Merica,+Durian,+Vanili,+Pala/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d968e47dcc4fc01:0xdb5dd874b9091f1e!8m2!3d-3.6719032!4d120.4017007!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2laFyIVY2VuZ2tlaCBmYXJtIHN1bGF3ZXNpkgENcGxhbnRfbnVyc2VyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSNU0xOURiazFuRUFF4AEA!16s%2Fg%2F11bzyxtf3m?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Pondok cengkeh Muhajir Junadin,Pondok cengkeh Muhajir Junadin,-1.8340875,123.0779219,"538H+957, Tabulang, Bangkurung, Banggai Laut, Central Sulawesi, Indonesia",Tabulang,Bangkurung,Kabupaten Banggai,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Pondok+cengkeh+Muhajir+Junadin/@0.35424,114.6251234,6z/data=!4m7!3m6!1s0x2d84a1002bb00161:0xf2a66d8e01446635!8m2!3d-1.8340431!4d123.0778961!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2laFyIVY2VuZ2tlaCBmYXJtIHN1bGF3ZXNpkgEHb3JjaGFyZJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOcWRHOWxNbE5CRUFF4AEA!16s%2Fg%2F11y41dh6l5?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kebun cengkeh Essang,Kebun cengkeh Essang,-0.0449625,119.7369219,"XP4P+2Q7, Pomolulu, Balaesang Tanjung, Donggala, Donggala Regency, Central Sulawesi, Indonesia",,Balaesang Tanjung,Kabupaten Donggala,Central Sulawesi,Sulawesi Tengah,,"https://www.google.com/maps/place/Kebun+cengkeh+Essang/@-0.0449525,110.5083985,6z/data=!4m7!3m6!1s0x2d8a75004cc5cd09:0x34450c8b9d876b9d!8m2!3d-0.0449525!4d119.7369141!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQdvcmNoYXJk4AEA!16s%2Fg%2F11w33qy0bp?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
kebun cengkeh maroangin,kebun cengkeh maroangin,-2.8452125,120.0888281,"533Q+WG8, Sangtandung, Walenrang Utara, Luwu Regency, South Sulawesi, Indonesia",Sangtandung,Walenrang Utara,Kabupaten Luwu,South Sulawesi,Sulawesi Selatan,,"https://www.google.com/maps/place/kebun+cengkeh+maroangin/@-0.0449525,110.5083985,6z/data=!4m7!3m6!1s0x2d93d90011786617:0x97cc78b39bc38bf3!8m2!3d-2.8452099!4d120.0888283!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2mSAQtoaWtpbmdfYXJlYeABAA!16s%2Fg%2F11y4ymk7bj?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Perkebunan Cengkeh Desa Botuliodu,Perkebunan Cengkeh Desa Botuliodu,0.3369875,123.7697656,"8QP9+QWR, Botuliodu, kec tomini, South Bolaang Mongondow Regency, North Sulawesi, Indonesia",Botuliodu,Tomini,Kabupaten Bolaang Mongondow Selatan,North Sulawesi,Sulawesi Utara,,"https://www.google.com/maps/place/Perkebunan+Cengkeh+Desa+Botuliodu/@-0.0449525,110.5083985,6z/data=!4m7!3m6!1s0x327f09cfcfd3e0d3:0x39f0755648b16463!8m2!3d0.336976!4d123.7697632!15sChVjZW5na2VoIGZhcm0gc3VsYXdlc2laFyIVY2VuZ2tlaCBmYXJtIHN1bGF3ZXNpkgEQYm90YW5pY2FsX2dhcmRlbpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOeE1GQXpVa2RuRUFF4AEA!16s%2Fg%2F11ghp8w2xn?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",cengkeh,"August, September","[8,9]"
Kakao kualitas tinggi Bulukumba,Kakao kualitas tinggi Bulukumba,-5.4261153,120.2455033,"Dusun Balo, Swatani, Kec. Rilau Ale, Kabupaten Bulukumba, Sulawesi Selatan 92552, Indonesia",Balo,Rilau Ale,Kabupaten Bulukumba,South Sulawesi,Sulawesi Selatan,+62 822-5930-0091,"https://www.google.com/maps/place/Kakao+kualitas+tinggi+Bulukumba/@-5.4308788,114.5532568,6z/data=!4m7!3m6!1s0x2dbc057eb72ddde5:0x4eece4f85f06ae96!8m2!3d-5.4308788!4d120.2526613!15sCg5rYWthbyBzdWxhd2VzaZIBBGZhcm3gAQA!16s%2Fg%2F11vlttvz0c?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kakao,"October, November, December, January, February, March","[10,11,12,1,2,3]"
Tugu Kakao,Tugu Kakao,-2.5586375,120.3021406,"C8R2+GVR, Radda, Baebunta, North Luwu Regency, South Sulawesi 92961, Indonesia",Radda,Baebunta,Kabupaten Luwu Utara,South Sulawesi,Sulawesi Selatan,,"https://www.google.com/maps/place/Tugu+Kakao/@-5.4308788,114.5532568,6z/data=!4m7!3m6!1s0x2d9185095956582d:0x9b3b153472886be0!8m2!3d-2.5586464!4d120.3021367!15sCg5rYWthbyBzdWxhd2VzaZIBEnRvdXJpc3RfYXR0cmFjdGlvbuABAA!16s%2Fg%2F11bxf_5zg8?entry=tts&g_ep=EgoyMDI0MTEwNS4wIPu8ASoASAFQAw%3D%3D",kakao,"October, November, December, January, February, March","[10,11,12,1,2,3]"
